,User,Tweet
102,39Magilla,"@NinadNimkar @engineers_feed @veritasium If 1/c is meant to be (1 meter/c) it is still unmeasurable, though it is now a unit of time.

Also, electromagnetic waves do not propagate at the speed of light in a vacuum, though they do propagate quickly. https://t.co/oFpKzs4r9B"
103,39Magilla,"@NinadNimkar @engineers_feed @veritasium All wires have capacitance; this length of wire would have a great deal of capacitance.

All filaments have heat capacity and require heating.

The circuit shown is not possible to build.

1/c is not measurable, nor is it a unit of time.

The answer is none of the above."
104,NinadNimkar,"@39Magilla @engineers_feed @veritasium No measurement, just ideal conditions for this setup:

Lightbulb turns on with any amount of current.
Wires have no capacitance."
105,39Magilla,@NinadNimkar @engineers_feed @veritasium How are you going to measure the time period?
106,NinadNimkar,"@engineers_feed @veritasium already made the perfect question:

How long does this lightbulb take to turn on once the switch is flipped? https://t.co/Ba4ZoYrx5h"
107,Eth1Kara,"@721starter @RagnarokMeta @The_OpenDAO @Ben_Olken 
@8BQuBv1pnJ87hMz 
@veritasium"
108,FordSubmariner,TY @veritasium for https://t.co/11pCpFUI75
109,estisuresti,Glad my fave channel @veritasium is heree!! https://t.co/Muaq7Gbwij
110,DoItDanish,@kunalb11 @elonmusk @veritasium @tweetsauce We know https://t.co/aM1ECTht2y
111,KhageshMahanta,RT @drdouggreen: DrDoug's NetNuggets #edchat #cpchat @rmbyrne @POETSorg @Innovative_Tech @willknight @WIRED @socialmedia2day @veritasium @l…
112,pide2001,"RT @rafbuff: Ohhh so exciting! The Analog Thing (THAT) Serial #15 just arrived (by personal courier). Sweet to finally see it in real, it h…"
113,IdeaPDish,"@veritasium 
The answer to how fast isn't 1/c, it's pi/2 c at 60Hz. It's 
Simply the ratio of the linear distance of a sine wave to a straight line. Eric Dollard did the math and made vidoes."
114,MakeDesignPop,"Johnny Harris
@tomscott 
@veritasium 
@ColinandSamir 
@MKBHD 
(Missing @Casey vlogs😢)

My week never passes without watching their one video.

Legends 🙇 https://t.co/xqbqASyEbR"
115,education_24x7,RT @szczpnk: Enjoyed a recent video made by @veritasium which helped me understand the power of Analog Computing in the context of Artifici…
116,piyushmagarwal,"Time for some fun and 'Binomial Theorem' #weekendfun #math @veritasium
https://t.co/mKZXZN9BE3"
117,alvinSeven77,"@engineers_feed The @veritasium question on the switch being instantly ON or will there be delay, which he made into a video.

God bless us all.
@ElectroBOOMGuy"
118,shigekzishihara,"RT @schichmax: Playing with, looking at, and listening to 
""the transfiguration of foxes and hares""
on #TheAnalogThing #13 by @analogparadi…"
119,konson0303,"RT @rafbuff: Ohhh so exciting! The Analog Thing (THAT) Serial #15 just arrived (by personal courier). Sweet to finally see it in real, it h…"
120,shigekzishihara,"RT @rafbuff: Ohhh so exciting! The Analog Thing (THAT) Serial #15 just arrived (by personal courier). Sweet to finally see it in real, it h…"
121,daedalus2010,"If we take an entangled pair of particles, send one into a black hole. Then observe the other one outside the black hole do we get information about the inside of the black hole? @Sci_Phile @veritasium @thephysicsgirl"
122,Cache_sys,"@veritasium #legitbait
Videos made from 2019-present:
-over 33% of channel’s total views
-36 videos have over 10M views and 23 made in this time period
-Intriguing thumbnail and title (relatively)
-3 of the top 5 videos are dynamic
Is legitbait real? Yes…for now."
123,donkeyameerka,"@majesticprimate @zetrosoft @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 #h1b #gcbacklog
#desiamericanprofessor  #singhinusa #ymgrad #yudij https://t.co/DpDPCIQltn"
124,Criscar761,RT @fqmente: @fqsaja1 Recomiendo este vídeo del gran @veritasium https://t.co/cW6RkHoXOS
125,modernlyindian,"- Do HIIT (High Intensity Interval Training)

These things help our Epigenome (actual thing responsible for aging) 
 Source-https://t.co/cvTXvXgalQ
Courtesy @veritasium"
126,CA_22562_AN,3/ complete. To succeed you will have complete before I give you start a second time. I will give you the instructions that you will use to work. That is make your Turing... This was the prelude if I recall precisely suffice for my earlier discussion. @Veritasium
127,cap__sac,"The ""Professionals in Science Communication"" Panel will feature Derek Muller (@veritasium), Jason Palmer (@djasonpalmer from @TheEconomist) and Natalie Wolchover(@nattyover from @QuantaMagazine) and will run May 9th, 5-6:30 PM EST. Registration opens next week!"
128,shubham_charlu,"@bhogleharsha Watch this YouTube channel called ""veritasium"" @veritasium"
129,robotmaths,@MathsImpact @MathsSecondary @CantabKitty @Sheena2907 @El_Timbre @mrallanmaths @veritasium shilling for VPNs. Almost as bad as that ginger comedian shilling for Magic The Gathering.
130,MathsImpact,"@MathsSecondary @CantabKitty @Sheena2907 @El_Timbre @mrallanmaths @robotmaths I like the @veritasium video on this illusion.

https://t.co/eJ68pM60tH"
131,emmelio79,RT @fqmente: @fqsaja1 Recomiendo este vídeo del gran @veritasium https://t.co/cW6RkHoXOS
132,VSVPRASAD13,RT @drdouggreen: DrDoug's NetNuggets #edchat #cpchat @rmbyrne @POETSorg @Innovative_Tech @willknight @WIRED @socialmedia2day @veritasium @l…
133,prabodhmhalgi,"@bhogleharsha I follow some YouTube channels in science.
@MarkRober @tweetsauce @veritasium @smartereveryday"
134,SteveTh04520286,RT @drdouggreen: DrDoug's NetNuggets #edchat #cpchat @rmbyrne @POETSorg @Innovative_Tech @willknight @WIRED @socialmedia2day @veritasium @l…
135,dcabpedro_fyq,RT @fqmente: @fqsaja1 Recomiendo este vídeo del gran @veritasium https://t.co/cW6RkHoXOS
136,fqsaja1,@fqmente nos recomendaba el vídeo equivalente de @veritasium y creo que eso es algo que me falta en divulgación: salir a la calle con alumnos?) y plantear estas cuestiones a gente de la calle. Si me decido ya contaré...
137,fqsaja1,@fqmente nos recomendaba el vídeo de @veritasium y creo que eso es algo que me falta en materia de divulgación: Salir a la calle (con alumnos?) y plantear estas cuestiones a la gente del municipio. Si me decido ya contaré...
138,chandra_aira,"@samsungID Enak banget sih klo bisa menangin hape keren gini..bisa buat bikin konten tiktok aku makin kece..wihh semoga dapet..yuk guys ikutan @AngelinTheLiver @veritasium @nadumtum 
#MomenGuePastiAwesome
#GalaxyA03"
139,szczpnk,"Enjoyed a recent video made by @veritasium which helped me understand the power of Analog Computing in the context of Artificial Intelligence. 
https://t.co/b0JhihLVgX #AnalogComputing #AI"
140,majesticprimate,"@hodlvolk @zetrosoft @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 😮🤣

Oh, 💩.

🚽🔥🧯🚒"
141,zetrosoft,@anonpost1997 @hodlvolk @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 You're an Indian in America. Your parents were traitors who left the country
142,anonpost1997,@zetrosoft @hodlvolk @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 You are those people nigga
143,zetrosoft,@hodlvolk @majesticprimate @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Those people probably don't know how to book a flight and land in America
144,hodlvolk,@zetrosoft @majesticprimate @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 You shouldn't be so low skilled that you need to be trained on how to operate a flush toilet.
145,man_ruins,@hodlvolk @zetrosoft @anonpost1997 @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Kebbin... I got the full score on IELTS and the highest possible marks for English on my state board
146,anonpost1997,@hodlvolk @man_ruins @zetrosoft @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Wdym? I understood everything he said. He speaks good english
147,hodlvolk,@man_ruins @zetrosoft @anonpost1997 @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Engrish please
148,majesticprimate,"@zetrosoft @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Some people lack self-awareness out of lack of experience.

Others work at it."
149,zetrosoft,"@majesticprimate @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Americans would benefit from low wage labor of immigrants.

The only legit reason to stop it is lack of assimilation"
150,man_ruins,@majesticprimate @zetrosoft @anonpost1997 @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 America and EU should put India on a blacklist for HR abuses. Also middle east must become intolerant again and start killing kaffirs so that high IQ Indians thre will move here... All our stock portfolios will grow three times over our lifetimes yay!!!
151,majesticprimate,"@zetrosoft @anonpost1997 @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Zetro - you are tiresomely mindless. Take me off these posts or you get blocked.

I'm done with your inability to think. I've given you more time than you deserve.

I hope this is the last I see of you anywhere.

Good luck Making India Great."
152,zetrosoft,@majesticprimate @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 1st one is legit. 2nd one is trash
153,majesticprimate,"@zetrosoft @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 But you miss the most important point.

No point immigrating low-talent people with bad habits hurting the country giving them such benefits over their own citizens."
154,majesticprimate,@zetrosoft @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Yes.
155,man_ruins,"@zetrosoft @anonpost1997 @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Zetro, this is based as high IQ ppl will stay here and we can GDPMaxxx"
156,anonpost1997,@zetrosoft @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 I'm a very successful incel mind you.
157,anonpost1997,@zetrosoft @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 You bloody pajeets are doing the job for less.
158,anonpost1997,@zetrosoft @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Not really but go off on your shitty libertarian tangents lmao. Stay out of this country! We don't want your kind here anymore. You know how hard it is for a guy like me with no experience to get a job here. I've applied to tons of places and I haven't gotten one reply back.
159,zetrosoft,@anonpost1997 @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Working for lower wages is wonderful for the economy
160,anonpost1997,"@zetrosoft @majesticprimate @hodlvolk @valleyridersss @veritasium @CityBeautifulYT @goodgc81 How is ""stealing our jobs"" a ridiculous argument? Indians are coming to this country for the same reason as Mexicans- because they work for less money. They're not intelligent people, just high tech serfs."
161,zetrosoft,"@majesticprimate @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Wait wait wait, you want to end mass immigration because of assimilation issues, or because of thia ridiculous ""stealing our jobs"" argument?"
162,anonpost1997,@majesticprimate @hodlvolk @zetrosoft @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Indian lawyers should be banned.
163,majesticprimate,@hodlvolk @zetrosoft @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 😮🤣
164,majesticprimate,"@zetrosoft @hodlvolk @anonpost1997 @valleyridersss @veritasium @CityBeautifulYT @goodgc81 End H1B &amp; H4 + slash all other visas India abuses.

India has also stuffed the Green Card queue with ""dual intent"", an H1B abuse, so agree we ought to just unroll all those.

Know some great Indians here but no need to further ruin the middle-class job market with mass migration."
165,electrek_wizard,@veritasium https://t.co/qZyMXxiz4Z
166,notrealdemocrat,RT @dpreview: Well this is cool. @veritasium shows us how to record air flow and gasses that are normally invisible https://t.co/8HBgIyfFfA…
167,j_sape,@veritasium Why does a baseball have 108 stitches? Exist a physic explanation? thanks
168,Burgerb,@PullNews @AlexanderSoros @veritasium @neiltyson @neilhalloran https://t.co/ENoDO0qNJq
169,ArjavJ_314,"@thephysicsgirl @veritasium @NickLucid @tweetsauce Magnets have magnetic field around them, so does a current carrying conductor. But it came to my mind that what kind of magnetic field would a current carrying magnet possess? (I'm passing current through a normal magnet)"
170,gany_phys,"RT @cap__sac: The SAC will run the ""Professionals in Science Communication"" Panel. It will feature Derek Muller(@veritasium), Jason Palmer(…"
171,cap__sac,"The SAC will run the ""Professionals in Science Communication"" Panel. It will feature Derek Muller(@veritasium), Jason Palmer(@djasonpalmer from @TheEconomist) and Natalie Wolchover(@nattyover from @QuantaMagazine) and will run May 9th, 5-6:30 PM EST. Registration opens next week! https://t.co/09uRKxlmiP"
172,zetrosoft,@hodlvolk @anonpost1997 @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 I ain't stealing anybody's job. I'll stay in India rather than going around the world begging like pathetic commie Mallus
173,hodlvolk,@zetrosoft @anonpost1997 @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 I at least have taken the time to learn Hindi without a monetary inducement created by stealing someone else's job.
174,zetrosoft,@hodlvolk @anonpost1997 @majesticprimate @valleyridersss @veritasium @CityBeautifulYT @goodgc81 Says an NRI who can't properly speak Hindi
